Nombre,3DS,PC,PS3,PSP,PSV,X360,PS4,XOne,Año,Genero-Editorial,Unnamed2,Ventas NA,Ventas EU,Ventas JP,Ventas Otros,Ventas Global
Summon Night 6: Lost Borders,,,,,,,PS4,,2016,Action-Namco Bandai Games,,0,0,"0,03",0,"0,03"
Sumikko Gurashi: Omise Hajimerundesu,3DS,,,,,,,,2015,Action-Nippon Columbia,,0,0,"0,14",0,"0,14"
Sumikko Gurashi: Mura o Tsukurundesu,3DS,,,,,,,,2016,Misc-Nippon Columbia,,0,0,"0,06",0,"0,06"
Street Fighter V,,,,,,,PS4,,2016,Fighting-Capcom,,"0,35","0,26","0,08","0,13","0,82"
Street Fighter V,,PC,,,,,,,2016,Fighting-Capcom,,0,"0,05",0,0,"0,05"
Stranger of Sword City,,,,,PSV,,,,2015,Role-Playing-Nippon Ichi Software,,"0,02","0,02",0,"0,01","0,05"
Story of Seasons: Good Friends of the Three Villages,3DS,,,,,,,,2016,Simulation-Marvelous Interactive,,0,0,"0,19",0,"0,19"
Storm Lover 2nd V,,,,,PSV,,,,2016,Adventure-D3Publisher,,0,0,"0,02",0,"0,02"
Storm Lover 2nd V,,,,,PSV,,,,2016,Adventure-D3Publisher,,0,0,"0,02",0,"0,02"
Stellaris,,PC,,,,,,,2016,Strategy-Paradox Interactive,,0,"0,03",0,0,"0,03"
Stella Glow,3DS,,,,,,,,2015,Role-Playing-Atlus,,"0,16","0,01","0,05","0,02","0,24"
Steins;Gate 0,,,,,PSV,,,,2015,Adventure-PQube,,0,0,"0,05",0,"0,05"
Steins;Gate 0,,,,,,,PS4,,2015,Adventure-PQube,,0,0,"0,05",0,"0,05"
Steins;Gate 0,,,PS3,,,,,,2015,Adventure-5pb,,0,0,"0,03",0,"0,03"
State of Decay,,,,,,,,XOne,2015,Strategy-Microsoft Game Studios,,"0,14","0,05",0,"0,02","0,2"
StarCraft II: Legacy of the Void,,PC,,,,,,,2015,Strategy-Activision,,"0,18","0,29",0,"0,04","0,51"
Star Wars Battlefront (2015),,,,,,,PS4,,2015,Shooter-Electronic Arts,,"2,93","3,29","0,22","1,23","7,67"
Star Wars Battlefront (2015),,,,,,,,XOne,2015,Shooter-Electronic Arts,,"1,94","1,22","0,02","0,31","3,49"
Star Wars Battlefront (2015),,PC,,,,,,,2015,Shooter-Electronic Arts,,"0,13","0,37",0,"0,04","0,54"
Star Ocean 5: Integrity and Faithlessness,,,,,,,PS4,,2016,Role-Playing-Square Enix,,"0,06","0,07","0,14","0,02","0,3"
Star Ocean 5: Integrity and Faithlessness,,,PS3,,,,,,2016,Role-Playing-Square Enix,,0,0,"0,04",0,"0,04"
SpongeBob: HeroPants,,,,,,X360,,,2015,Platform-Activision,,"0,08",0,0,"0,01","0,09"
SpongeBob: HeroPants,,,,,PSV,,,,2015,Platform-Activision,,"0,03","0,01",0,"0,01","0,05"
SpongeBob: HeroPants,3DS,,,,,,,,2015,Platform-Activision,,"0,03",0,0,0,"0,03"
Spirits and Demons: 5 Game Pack,,PC,,,,,,,2015,Misc-Focus Multimedia,,0,"0,02",0,0,"0,02"
Space Hulk,,,,,PSV,,,,2015,Strategy-Funbox Media,,0,"0,01",0,0,"0,01"
Sousaku Alice to Oujisama!,3DS,,,,,,,,2015,Simulation-Happinet,,0,0,"0,01",0,"0,01"
Sonic Boom: Fire & Ice,3DS,,,,,,,,2016,Platform-Sega,,"0,03",0,0,0,"0,03"
Song of the Deep,,,,,,,PS4,,2016,Action-Insomniac Games,,"0,05",0,0,"0,01","0,06"
Song of the Deep,,,,,,,,XOne,2016,Action-Insomniac Games,,"0,03",0,0,0,"0,04"
Song of the Deep,,PC,,,,,,,2016,Action-Insomniac Games,,"0,02",0,0,0,"0,02"
Skylanders: SuperChargers,,,,,,X360,,,2015,Action-Activision,,"0,24","0,18",0,"0,04","0,46"
Skylanders: SuperChargers,,,PS3,,,,,,2015,Action-Activision,,"0,15","0,18",0,"0,06","0,39"
Skylanders: SuperChargers,,,,,,,PS4,,2015,Action-Activision,,"0,17","0,08",0,"0,05","0,3"
Skylanders: SuperChargers,,,,,,,,XOne,2015,Action-Activision,,"0,16","0,05",0,"0,02","0,23"
Skylanders: SuperChargers,3DS,,,,,,,,2015,Action-Activision,,"0,05","0,06",0,"0,01","0,11"
Sid Meier's Civilization Revolution 2+,,,,,PSV,,,,2015,Strategy-Take-Two Interactive,,0,0,"0,02",0,"0,02"
Shovel Knight,3DS,,,,,,,,2015,Platform-Yacht Club Games,,"0,07","0,04","0,01","0,01","0,13"
Shovel Knight,,,,,,,PS4,,2015,Platform-Yacht Club Games,,"0,03","0,03",0,"0,01","0,08"
Shitsuji ga Aruji o Erabu Toki,,,,,PSV,,,,2016,Adventure-Unknown,,0,0,"0,01",0,"0,01"
Shiren the Wanderer 5 Plus: Fortune Tower and the Dice of Fate,,,,,PSV,,,,2015,Action-Aksys Games,,"0,01",0,"0,04",0,"0,05"
"Shinobi, Koi Utsutsu: Setsugetsuka Koi Emaki",,,,,PSV,,,,2015,Action-Idea Factory,,0,0,"0,01",0,"0,01"
Shin Megami Tensei: Devil Survivor 2,3DS,,,,,,,,2015,Role-Playing-Atlus,,0,"0,03","0,09",0,"0,12"
Shin Megami Tensei IV: Final,3DS,,,,,,,,2016,Role-Playing-Deep Silver,,"0,03",0,"0,14",0,"0,17"
Shin Hayarigami 2,,,,,PSV,,,,2016,Adventure-Nippon Ichi Software,,0,0,"0,01",0,"0,01"
Shantae and the Pirate's Curse,3DS,,,,,,,,2015,Platform-Intergrow,,0,0,"0,03",0,"0,03"
Senran Kagura: Estival Versus,,,,,PSV,,,,2015,Action-Marvelous Interactive,,"0,06","0,05","0,09","0,03","0,23"
Senran Kagura: Estival Versus,,,,,,,PS4,,2015,Action-Marvelous Interactive,,"0,07",0,"0,08","0,02","0,17"
Sengoku Otome: Legend Battle,,,,,PSV,,,,2016,Action-Unknown,,0,0,"0,02",0,"0,02"
Sengoku Basara: Sanada Yukimura-Den,,,,,,,PS4,,2016,Action-Capcom,,0,0,"0,03",0,"0,03"
Sengoku Basara: Sanada Yukimura-Den,,,PS3,,,,,,2016,Action-Capcom,,0,0,"0,02",0,"0,02"
Sengoku Basara 4: Sumeragi,,,PS3,,,,,,2015,Action-Capcom,,0,0,"0,09",0,"0,09"
Sengoku Basara 4: Sumeragi,,,,,,,PS4,,2015,Action-Capcom,,0,0,"0,05",0,"0,05"
Sangoku Koi Senki: Omoide Gaeshi - CS Edition,,,,,PSV,,,,2016,Adventure-Prototype,,0,0,"0,01",0,"0,01"
Samurai Warriors 4: Empires,,,,,,,PS4,,2015,Action-Tecmo Koei,,"0,02","0,01","0,05","0,01","0,09"
Samurai Warriors 4: Empires,,,PS3,,,,,,2015,Action-Tecmo Koei,,0,0,"0,06",0,"0,06"
Samurai Warriors 4: Empires,,,,,PSV,,,,2015,Action-Tecmo Koei,,0,0,"0,05",0,"0,05"
Samurai Warriors 4-II,,,,,,,PS4,,2015,Action-Tecmo Koei,,"0,03","0,02","0,06","0,01","0,11"
Samurai Warriors 4-II,,,PS3,,,,,,2015,Action-Tecmo Koei,,0,0,"0,11",0,"0,11"
Samurai Warriors 4-II,,,,,PSV,,,,2015,Action-Tecmo Koei,,0,0,"0,05",0,"0,05"
Saki: Zenkoku-hen,,,,,PSV,,,,2015,Misc-Kaga Create,,0,0,"0,05",0,"0,05"
Saints Row: Gat out of Hell,,,,,,,PS4,,2015,Action-Deep Silver,,0,"0,04",0,"0,01","0,05"
Saints Row IV,,,,,,,PS4,,2015,Action-Deep Silver,,"0,13","0,17","0,03","0,06","0,38"
Saints Row IV,,,,,,,,XOne,2015,Action-Deep Silver,,"0,1","0,09",0,"0,02","0,2"
Saint Seiya: Soldiers' Soul,,,,,,,PS4,,2015,Fighting-Namco Bandai Games,,0,"0,09","0,04","0,02","0,15"
Saint Seiya: Soldiers' Soul,,,PS3,,,,,,2015,Fighting-Namco Bandai Games,,0,0,"0,04",0,"0,04"
Saenai Kanojo no Sodatekata: Blessing Flowers,,,,,PSV,,,,2015,Action-5pb,,0,0,"0,02",0,"0,02"
SÃ©bastien Loeb Rally Evo,,,,,,,PS4,,2016,Racing-Milestone S.r.l,,0,"0,04",0,"0,01","0,04"
SÃ©bastien Loeb Rally Evo,,,,,,,,XOne,2016,Racing-Milestone S.r.l,,0,"0,01",0,0,"0,01"
Rugby World Cup 2015,,,PS3,,,,,,2015,Sports-Ubisoft,,0,"0,06",0,"0,01","0,07"
Rugby World Cup 2015,,,,,,,PS4,,2015,Sports-Ubisoft,,0,"0,05",0,"0,01","0,06"
Rugby World Cup 2015,,,,,,X360,,,2015,Sports-Ubisoft,,0,"0,04",0,0,"0,05"
Rugby World Cup 2015,,,,,PSV,,,,2015,Sports-Ubisoft,,0,"0,03",0,"0,01","0,04"
Rugby World Cup 2015,,,,,,,,XOne,2015,Sports-Ubisoft,,0,"0,02",0,0,"0,02"
Rugby World Cup 2015,,PC,,,,,,,2015,Sports-Ubisoft,,0,"0,01",0,0,"0,01"
Rugby League Team Manager 2015,,PC,,,,,,,2015,Action-Alternative Software,,0,"0,02",0,0,"0,02"
Rugby League Live 3,,,PS3,,,,,,2015,Action-Tru Blu Entertainment,,0,"0,03",0,0,"0,03"
Rugby League Live 3,,,,,,X360,,,2015,Action-Tru Blu Entertainment,,0,"0,03",0,0,"0,03"
Rugby League Live 3,,,,,,,PS4,,2015,Action-Tru Blu Entertainment,,0,"0,02",0,0,"0,02"
Rugby League Live 3,,,,,,,,XOne,2015,Action-Tru Blu Entertainment,,0,"0,01",0,0,"0,01"
Rugby Challenge 3,,,PS3,,,,,,2016,Sports-Alternative Software,,0,"0,04",0,"0,01","0,04"
Rugby Challenge 3,,,,,,,PS4,,2016,Sports-Alternative Software,,0,"0,03",0,"0,01","0,04"
Rugby Challenge 3,,,,,,X360,,,2016,Sports-Alternative Software,,0,"0,02",0,0,"0,02"
Rugby Challenge 3,,,,,,,,XOne,2016,Sports-Alternative Software,,0,"0,01",0,0,"0,01"
Rugby Challenge 3,,,,,,X360,,,2016,Sports-Alternative Software,,0,"0,02",0,0,"0,02"
Rugby 15,,,PS3,,,,,,2015,Sports-Bigben Interactive,,"0,02","0,09",0,"0,02","0,13"
Rugby 15,,,,,,,PS4,,2015,Sports-Bigben Interactive,,"0,03","0,06",0,"0,02","0,11"
Rugby 15,,,,,,,,XOne,2015,Sports-Bigben Interactive,,"0,03","0,05",0,"0,01","0,09"
Rugby 15,,,,,PSV,,,,2015,Sports-Bigben Interactive,,0,"0,05",0,"0,01","0,06"
Rugby 15,,,,,,X360,,,2015,Sports-Bigben Interactive,,0,"0,05",0,0,"0,05"
Rose to Tasogare no Kojou,,,,,PSV,,,,2016,Action-Nippon Ichi Software,,0,0,"0,02",0,"0,02"
Rory McIlroy PGA Tour,,,,,,,PS4,,2015,Action-Electronic Arts,,"0,18","0,24",0,"0,08","0,51"
Rory McIlroy PGA Tour,,,,,,,,XOne,2015,Action-Electronic Arts,,"0,15","0,09",0,"0,02","0,27"
Root Infinity Rexx,,,,,PSV,,,,2015,Adventure-Idea Factory,,0,0,"0,02",0,"0,02"
Romance of the Three Kingdoms II,3DS,,,,,,,,2015,Strategy-Tecmo Koei,,0,0,"0,03",0,"0,03"
Romance of the Three Kingdoms 13,,,,,,,PS4,,2015,Action-Tecmo Koei,,"0,01",0,"0,05",0,"0,06"
Romance of the Three Kingdoms 13,,,PS3,,,,,,2015,Action-Tecmo Koei,,0,0,"0,04",0,"0,04"
RollerCoaster Tycoon World,,PC,,,,,,,2016,Simulation-Atari,,0,"0,02",0,0,"0,02"
Rodea the Sky Soldier,3DS,,,,,,,,2015,Action-Nippon Ichi Software,,"0,03",0,0,0,"0,04"
Rocket League,,,,,,,PS4,,2016,Sports-505 Games,,"0,02","0,14",0,"0,07","0,23"
Rocket League,,,,,,,,XOne,2016,Sports-505 Games,,"0,03","0,09",0,"0,01","0,12"
Rocket League,,PC,,,,,,,2016,Sports-505 Games,,"0,01","0,01",0,0,"0,02"
Rocket League,,PC,,,,,,,2016,Sports-505 Games,,"0,01","0,01",0,0,"0,02"
Rock Band 4,,,,,,,,XOne,2015,Misc-Harmonix Music Systems,,"0,35","0,04",0,"0,04","0,43"
Rock Band 4,,,,,,,PS4,,2015,Misc-Harmonix Music Systems,,"0,25","0,05",0,"0,07","0,37"
Risen 3: Titan Lords,,,,,,,PS4,,2015,Role-Playing-Deep Silver,,0,"0,05",0,"0,01","0,06"
Rise of the Tomb Raider,,PC,,,,,,,2016,Adventure-Square Enix,,0,"0,09",0,"0,01","0,1"
Rise of the Tomb Raider,,,,,,,,XOne,2015,Adventure-Square Enix,,"0,53","0,64","0,02","0,1","1,3"
Rise of the Tomb Raider,,,,,,X360,,,2015,Adventure-Square Enix,,"0,17","0,19",0,"0,03","0,4"
Ride,,,,,,,PS4,,2015,Racing-Milestone S.r.l.,,"0,03","0,13","0,03","0,03","0,22"
Ride,,,,,,,,XOne,2015,Racing-Milestone S.r.l.,,"0,04","0,05",0,"0,01","0,1"
Ride,,,PS3,,,,,,2015,Racing-Milestone S.r.l.,,0,"0,06","0,01","0,01","0,08"
Ride,,PC,,,,,,,2015,Racing-Milestone S.r.l.,,0,"0,03",0,0,"0,03"
Ride,,,,,,X360,,,2015,Racing-Milestone S.r.l.,,0,"0,02",0,0,"0,02"
Rhythm Heaven: The Best+,3DS,,,,,,,,2015,Misc-Nintendo,,0,0,"0,71",0,"0,71"
Revolution: 25th Anniversary Collection,,PC,,,,,,,2016,Adventure-Koch Media,,0,"0,02",0,0,"0,02"
Return to PopoloCrois: A Story of Seasons Fairytale,3DS,,,,,,,,2015,Simulation-Marvelous Entertainment,,"0,04",0,"0,1","0,01","0,15"
Resident Evil: Umbrella Corps,,,,,,,PS4,,2016,Action-Capcom,,0,0,"0,02",0,"0,02"
Resident Evil: Revelations 2,,,,,,,PS4,,2015,Action-Capcom,,"0,13","0,24","0,1","0,07","0,54"
Resident Evil: Revelations 2,,,PS3,,,,,,2015,Action-Capcom,,"0,06","0,08","0,16","0,03","0,32"
Resident Evil: Revelations 2,,,,,PSV,,,,2015,Action-Capcom,,"0,01","0,05","0,06","0,01","0,13"
Resident Evil: Revelations 2,,,,,,,,XOne,2015,Action-Capcom,,"0,07","0,02",0,"0,01","0,1"
Resident Evil: Revelations 2,,,,,,X360,,,2015,Action-Capcom,,"0,04","0,04",0,"0,01","0,09"
Resident Evil Zero,,,,,,,PS4,,2016,Action-Capcom,,"0,09","0,17","0,05","0,05","0,36"
Resident Evil Zero,,,,,,,,XOne,2016,Action-Capcom,,"0,05","0,02",0,"0,01","0,07"
Resident Evil Zero,,PC,,,,,,,2016,Action-Capcom,,"0,01","0,01",0,0,"0,02"
Resident Evil 6,,,,,,,PS4,,2016,Shooter-Capcom,,"0,05",0,0,"0,01","0,07"
Resident Evil 6,,,,,,,,XOne,2016,Shooter-Capcom,,"0,03",0,0,0,"0,04"
Resident Evil 5 HD,,,,,,,PS4,,2016,Action-Capcom,,"0,01",0,0,0,"0,01"
Resident Evil 4 HD,,,,,,,PS4,,2016,Shooter-Capcom,,"0,03",0,0,"0,01","0,03"
Resident Evil 4 HD,,,,,,,,XOne,2016,Shooter-Capcom,,"0,01",0,0,0,"0,01"
Republique,,,,,,,PS4,,2016,Action-Nippon Ichi Software,,0,"0,01","0,01",0,"0,01"
Renai Revenge,,,,,PSV,,,,2015,Adventure-TGL,,0,0,"0,03",0,"0,03"
Reine des Fleurs,,,,,PSV,,,,2015,Action-Idea Factory,,0,0,"0,02",0,"0,02"
Refrain no Chika Meikyuu to Majo no Ryodan,,,,,PSV,,,,2016,Action-Nippon Ichi Software,,0,0,"0,04",0,"0,04"
ReCore,,,,,,,,XOne,2016,Action-Microsoft Game Studios,,"0,06","0,03",0,"0,01","0,1"
Ray Gigant,,,,,PSV,,,,2015,Role-Playing-Namco Bandai Games,,0,0,"0,04",0,"0,04"
Raven's Cry,,,,,,,PS4,,2015,Role-Playing-TopWare Interactive,,0,"0,01",0,0,"0,01"
Ratchet & Clank (2016),,,,,,,PS4,,2016,Platform-Sony Computer Entertainment,,"0,32","0,64","0,04","0,18","1,17"
Rare Replay,,,,,,,,XOne,2015,Misc-Microsoft Game Studios,,"0,47","0,21","0,01","0,07","0,75"
R.B.I. Baseball 2016,,,,,,,,XOne,2016,Sports-MLB.com,,"0,04",0,0,0,"0,04"
Quantum Break,,,,,,,,XOne,2016,Action-Microsoft Game Studios,,"0,27","0,19","0,01","0,04","0,51"
Puzzle & Dragons Z + Super Mario Bros. Edition,3DS,,,,,,,,2015,Puzzle-Nintendo,,"0,05","0,05","0,34","0,01","0,46"
Puzzle & Dragons X: God Chapter / Dragon Chapter,3DS,,,,,,,,2016,Action-GungHo,,0,0,"0,2",0,"0,2"
Psycho-Pass: Mandatory Happiness,,,,,,,PS4,,2016,Adventure-Nippon Ichi Software,,"0,02",0,0,0,"0,03"
Psycho-Pass: Mandatory Happiness,,,,,PSV,,,,2016,Adventure-Nippon Ichi Software,,0,"0,01","0,01",0,"0,02"
Psychedelica of the Black Butterfly,,,,,PSV,,,,2015,Action-Idea Factory,,0,0,"0,02",0,"0,02"
Project X Zone 2: Brave New World,3DS,,,,,,,,2015,Role-Playing-Namco Bandai Games,,"0,04","0,04","0,08","0,01","0,17"
Project Setsuna,,,,,,,PS4,,2016,Role-Playing-Square Enix,,0,0,"0,06",0,"0,06"
Project Setsuna,,,,,PSV,,,,2016,Role-Playing-Square Enix,,0,0,"0,05",0,"0,05"
Project CARS,,,,,,,PS4,,2015,Racing-Slightly Mad Studios,,"0,17","0,69","0,02","0,15","1,04"
Project CARS,,,,,,,,XOne,2015,Racing-Slightly Mad Studios,,"0,08","0,13",0,"0,02","0,23"
Project CARS,,PC,,,,,,,2015,Racing-Slightly Mad Studios,,0,"0,1",0,"0,01","0,11"
Project CARS,,,,,,,PS4,,2015,Racing-Slightly Mad Studios,,"0,17","0,69","0,02","0,15","1,04"
Professional Farmer 2016,,,,,,,PS4,,2015,Action-Namco Bandai Games,,0,"0,01",0,0,"0,02"
Professional Farmer 2016,,,,,PSV,,,,2015,Action-Namco Bandai Games,,0,"0,01",0,0,"0,01"
Pro Evolution Soccer 2017,,,,,,,PS4,,2016,Sports-Konami Digital Entertainment,,"0,01","0,16","0,09","0,03","0,28"
Pro Evolution Soccer 2017,,,PS3,,,,,,2016,Sports-Konami Digital Entertainment,,0,"0,01","0,04",0,"0,06"
Pro Evolution Soccer 2017,,,,,,,,XOne,2016,Sports-Konami Digital Entertainment,,0,"0,02",0,0,"0,03"
Pro Evolution Soccer 2016,,,,,,,PS4,,2015,Sports-Konami Digital Entertainment,,"0,13","0,42","0,13","0,1","0,78"
Pro Evolution Soccer 2016,,,PS3,,,,,,2015,Sports-Konami Digital Entertainment,,"0,08","0,18","0,15","0,05","0,45"
Pro Evolution Soccer 2016,,,,,,X360,,,2015,Sports-Konami Digital Entertainment,,"0,04","0,08",0,"0,01","0,13"
Pro Evolution Soccer 2016,,,,,,,,XOne,2015,Sports-Konami Digital Entertainment,,"0,03","0,06",0,"0,01","0,1"
Pro Evolution Soccer 2016,,PC,,,,,,,2015,Sports-Konami Digital Entertainment,,0,"0,04",0,0,"0,04"
Pro Cycling Manager 2016,,,,,,,PS4,,2016,Sports-Focus Home Interactive,,0,"0,04",0,"0,01","0,05"
Pro Cycling Manager 2016,,PC,,,,,,,2016,Sports-Focus Home Interactive,,0,"0,03",0,0,"0,03"
Pro Baseball Spirits 2015,,,PS3,,,,,,2015,Action-Konami Digital Entertainment,,0,0,"0,15",0,"0,15"
Pro Baseball Spirits 2015,,,,,PSV,,,,2015,Action-Konami Digital Entertainment,,0,0,"0,13",0,"0,13"
Prison Architect,,,,,,,PS4,,2016,Action-Introversion Software,,"0,01","0,01",0,0,"0,02"
Prison Architect,,,,,,,PS4,,2016,Action-Introversion Software,,"0,01","0,01",0,0,"0,02"
PriPara Mezase! Idol Grand Prix No.1!,3DS,,,,,,,,2015,Misc-Takara Tomy,,0,0,"0,11",0,"0,11"
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,,,,,,,,2015,Action-Namco Bandai Games,,0,0,"0,03",0,"0,03"
Prince of Stride,,,,,PSV,,,,2015,Adventure-Kadokawa Games,,0,0,"0,02",0,"0,02"
Pokemon Super Mystery Dungeon,3DS,,,,,,,,2015,Role-Playing-Nintendo,,"0,46","0,31","0,33","0,08","1,19"
Pokemon Rumble World,3DS,,,,,,,,2015,Action-Nintendo,,0,"0,01","0,08",0,"0,09"
Plants vs. Zombies: Garden Warfare 2,,,,,,,PS4,,2016,Shooter-Electronic Arts,,"0,17","0,21",0,"0,07","0,45"
Plants vs. Zombies: Garden Warfare 2,,,,,,,,XOne,2016,Shooter-Electronic Arts,,"0,26","0,15",0,"0,04","0,44"
Plants vs. Zombies: Garden Warfare 2,,PC,,,,,,,2016,Shooter-Electronic Arts,,0,"0,04",0,0,"0,05"
Picross 3D 2,3DS,,,,,,,,2015,Puzzle-Nintendo,,0,0,"0,11",0,"0,11"
Phantasy Star Online 2: Episode 3 Deluxe Package,,,,,PSV,,,,2015,Action-Sega,,0,0,"0,03",0,"0,03"
Phantasy Star Online 2 Episode 4: Deluxe Package,,,,,,,PS4,,2017,Role-Playing-Sega,,0,0,"0,03",0,"0,03"
Phantasy Star Online 2 Episode 4: Deluxe Package,,,,,PSV,,,,2017,Role-Playing-Sega,,0,0,"0,01",0,"0,01"
Persona 5,,,,,,,PS4,,2016,Role-Playing-Atlus,,0,0,"0,34",0,"0,34"
Persona 5,,,PS3,,,,,,2016,Role-Playing-Unknown,,0,0,"0,1",0,"0,1"
Persona 4: Dancing All Night,,,,,PSV,,,,2015,Misc-Nippon Ichi Software,,"0,13","0,1","0,15","0,07","0,46"
Period Cube: Torikago no Amadeus,,,,,PSV,,,,2016,Action-Idea Factory,,0,0,"0,01",0,"0,01"
Payday 2,,,,,,,PS4,,2015,Shooter-505 Games,,"0,09","0,14",0,"0,04","0,27"
Payday 2,,,,,,,,XOne,2015,Shooter-505 Games,,"0,08","0,07",0,"0,01","0,17"
Parfait,,,,,PSV,,,,2015,Adventure-TGL,,0,0,"0,03",0,"0,03"
Paranormal Pursuit: The Gifted One,,PC,,,,,,,2015,Action-Alawar Entertainment,,0,"0,01",0,0,"0,01"
Paragon,,,,,,,PS4,,2016,Action-Epic Games,,"0,01",0,0,0,"0,01"
Paddington: Adventures in London,3DS,,,,,,,,2015,Puzzle-Koch Media,,0,"0,04",0,0,"0,04"
OZMAFIA!! -vivace-,,,,,PSV,,,,2015,Adventure-dramatic create,,0,0,"0,03",0,"0,03"
Overwatch,,,,,,,PS4,,2016,Shooter-Activision,,"0,64","0,68","0,14","0,26","1,73"
Overwatch,,,,,,,,XOne,2016,Shooter-Activision,,"0,52","0,25",0,"0,08","0,85"
Overwatch,,PC,,,,,,,2016,Shooter-Activision,,"0,22","0,18",0,"0,04","0,43"
Otoko Yukaku,,,,,PSV,,,,2015,Action-D3Publisher,,0,0,"0,02",0,"0,02"
One Piece: Pirate Warriors 3,,,,,,,PS4,,2015,Action-Namco Bandai Games,,"0,08","0,22","0,1","0,05","0,45"
